Time; AccX; AccY; AccZ; Temp; GyroX; GyroY; GyroZ;
10787; 400; 16420; -1312; 24.29; 3239; 221; -277
10891; 400; 16384; -1532; 24.29; 3098; 198; -143
10994; 400; 16336; -1508; 24.25; 3057; 161; -99
11099; 424; 16440; -1268; 24.34; 3018; 173; -165
11202; 396; 16352; -1440; 24.20; 3141; 117; -131
11305; 452; 16320; -1524; 24.34; 3125; 110; 41
11409; 464; 16324; -1532; 24.34; 3103; 192; -183
11512; 464; 16380; -1508; 24.20; 3157; 138; -173
11616; 424; 16304; -1648; 24.34; 2952; 130; -132
11719; 348; 16340; -1604; 24.20; 3115; 170; -172
11823; 484; 16276; -1580; 24.25; 2817; 147; -160
11926; 500; 16424; -1476; 24.34; 2954; 165; -172
12029; 412; 16364; -1336; 24.29; 2836; 141; -147
12133; 496; 16356; -1336; 24.25; 2802; 105; -217
12236; 436; 16424; -1320; 24.20; 2861; 114; -186
12341; 384; 16348; -1056; 24.25; 2418; 175; -120
12444; 436; 16308; -1020; 24.34; 1912; 172; -266
12548; 428; 16268; -828; 24.34; 1902; 157; -280
12651; 300; 16328; -560; 24.34; 1655; 120; -261
12754; 480; 16336; -296; 24.25; 837; 106; -347
12858; 284; 16240; 624; 24.15; 648; 114; -335
12961; 284; 16180; 1024; 24.25; 1133; 4; -351
13065; 196; 16064; 1732; 24.34; -1000; 185; -513
13168; 104; 15772; 2688; 24.29; -1195; -158; -604
13272; 80; 15540; 3644; 24.34; -901; -5; -502
13375; 76; 15384; 4356; 24.29; -688; 106; -507
13478; 108; 14948; 5208; 24.29; -656; 108; -531
13582; 12; 14596; 5852; 24.29; -1481; 73; -434
13685; -208; 14116; 6980; 24.29; -1577; -2; -386
13789; -316; 13520; 7840; 24.29; -1987; -59; -466
13892; -148; 12824; 8580; 24.39; -1643; -446; -874
13996; -108; 12104; 9732; 24.25; -1328; -704; -1049
14099; -184; 11448; 10608; 24.20; -1973; -62; -432
14202; -352; 10640; 10984; 24.25; -1909; -59; -487
14307; -364; 9760; 11820; 24.29; -1089; -141; -663
14410; -204; 8984; 12500; 24.34; -1309; 123; -310
14514; -316; 8132; 12996; 24.25; -1567; -44; -318
14617; -440; 7156; 13400; 24.29; -1394; 170; -412
14721; -324; 6196; 13972; 24.34; -1110; 170; -348
14824; -312; 5192; 14340; 24.20; -669; 142; -239
14927; -432; 4516; 14580; 24.29; -213; 208; -477
15031; -548; 3856; 14704; 24.34; -64; 231; 47
15134; -656; 3296; 14748; 24.29; 121; 363; 66
15238; -424; 2656; 14904; 24.39; -46; 312; -314
15341; -452; 1984; 15180; 24.29; 420; 107; -878
15444; -568; 1476; 15044; 24.34; 787; 278; -391
15548; -764; 828; 15136; 24.25; 671; 266; -368
15651; -604; 408; 15300; 24.34; 1334; 324; -692
15755; -608; 28; 15220; 24.34; 2758; 245; -536
15858; -608; 96; 15196; 24.34; 2773; 279; -98
15962; -804; -344; 15284; 24.34; 1699; 786; 63
16065; -744; -272; 15116; 24.25; 2678; -182; -132
16168; -440; -404; 15176; 24.20; 2999; 79; -120
16272; -516; -428; 15268; 24.34; 3031; 155; -140
16375; -620; -308; 15204; 24.29; 3058; 120; -164
16479; -716; -440; 15000; 24.20; 3058; 158; -139
16583; -700; -488; 15180; 24.34; 3034; 144; -148
16687; -708; -436; 15236; 24.34; 3046; 143; -148
16790; -688; -392; 15252; 24.34; 3049; 146; -167
